transaction_id,account_id,booking_ts,value_ts,amount,currency,direction,channel,merchant_id,counterparty_id,txn_type,status
TXN0000000015,ACC0000001,2024-08-26T18:37:52+00:00,2024-08-26T18:37:52+00:00,-55.94,EUR,OUT,CARD,MRC000004,,CARD_PURCHASE,BOOKED
TXN0000000016,ACC0000001,2024-08-09T16:43:47+00:00,2024-08-09T16:43:47+00:00,-24.87,EUR,OUT,CARD,MRC000018,,CARD_PURCHASE,BOOKED
TXN0000000017,ACC0000001,2024-08-05T23:58:00+00:00,2024-08-06T23:58:00+00:00,-74.8,EUR,OUT,CARD,MRC000129,,CARD_PURCHASE,BOOKED
TXN0000000018,ACC0000001,2024-08-17T06:38:59+00:00,2024-08-19T06:38:59+00:00,5390.97,EUR,IN,TRANSFER,,CP000100,TRANSFER,BOOKED
TXN0000000019,ACC0000001,2024-08-07T20:52:00+00:00,2024-08-08T20:52:00+00:00,-62.59,EUR,OUT,CARD,MRC000006,,CARD_PURCHASE,BOOKED
TXN0000000020,ACC0000001,2024-08-27T04:32:28+00:00,2024-08-27T04:32:28+00:00,-20.0,EUR,OUT,ATM,,,ATM_WITHDRAWAL,BOOKED
TXN0000000021,ACC0000001,2024-08-04T11:53:42+00:00,2024-08-04T11:53:42+00:00,-77.95,EUR,OUT,CARD,MRC000002,,CARD_PURCHASE,BOOKED
TXN0000000022,ACC0000001,2024-08-29T22:11:30+00:00,2024-08-31T22:11:30+00:00,-172.05,EUR,OUT,CARD,MRC000004,,CARD_PURCHASE,BOOKED
TXN0000000023,ACC0000001,2024-08-10T11:23:24+00:00,2024-08-10T11:23:24+00:00,-54.59,EUR,OUT,CARD,MRC000010,,CARD_PURCHASE,BOOKED
TXN0000000024,ACC0000001,2024-08-17T04:50:37+00:00,2024-08-17T04:50:37+00:00,-56.46,EUR,OUT,CARD,MRC000006,,CARD_PURCHASE,BOOKED
TXN0000000025,ACC0000001,2024-08-27T14:38:16+00:00,2024-08-28T14:38:16+00:00,-4710.09,EUR,OUT,TRANSFER,,CP000269,TRANSFER,BOOKED
TXN0000000026,ACC0000001,2024-08-06T21:55:29+00:00,2024-08-06T21:55:29+00:00,-180.56,EUR,OUT,CARD,MRC000176,,CARD_PURCHASE,BOOKED
TXN0000000027,ACC0000001,2024-08-03T23:46:33+00:00,2024-08-03T23:46:33+00:00,-71.54,EUR,OUT,CARD,MRC000016,,CARD_PURCHASE,BOOKED
TXN0000000028,ACC0000001,2024-08-04T12:51:14+00:00,2024-08-04T12:51:14+00:00,5932.71,EUR,IN,TRANSFER,,CP000234,TRANSFER,BOOKED
TXN0000000029,ACC0000001,2024-08-05T11:29:43+00:00,2024-08-05T11:29:43+00:00,-39.2,EUR,OUT,CARD,MRC000040,,CARD_PURCHASE,BOOKED
TXN0000000030,ACC0000001,2024-08-30T11:31:00+00:00,2024-08-31T11:31:00+00:00,-20.45,EUR,OUT,CARD,MRC000003,,CARD_PURCHASE,BOOKED
TXN0000000031,ACC0000001,2024-08-13T14:30:21+00:00,2024-08-14T14:30:21+00:00,-9.54,EUR,OUT,CARD,MRC000008,,CARD_PURCHASE,BOOKED
TXN0000000032,ACC0000001,2024-08-06T16:02:46+00:00,2024-08-06T16:02:46+00:00,-18.37,EUR,OUT,CARD,MRC000022,,CARD_PURCHASE,BOOKED
TXN0000000033,ACC0000001,2024-08-20T19:12:34+00:00,2024-08-20T19:12:34+00:00,-36.01,EUR,OUT,CARD,MRC000002,,CARD_PURCHASE,BOOKED
TXN0000000034,ACC0000001,2024-08-26T21:41:52+00:00,2024-08-26T21:41:52+00:00,-58.88,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000035,ACC0000001,2024-08-07T07:12:02+00:00,2024-08-08T07:12:02+00:00,-46.13,EUR,OUT,CARD,MRC000004,,CARD_PURCHASE,BOOKED
TXN0000000036,ACC0000001,2024-08-21T22:14:26+00:00,2024-08-21T22:14:26+00:00,-44.65,EUR,OUT,CARD,MRC000018,,CARD_PURCHASE,BOOKED
TXN0000000037,ACC0000001,2024-08-30T17:41:50+00:00,2024-08-30T17:41:50+00:00,2649.74,EUR,IN,TRANSFER,,CP000234,TRANSFER,BOOKED
TXN0000000038,ACC0000001,2024-08-30T05:19:49+00:00,2024-08-30T05:19:49+00:00,-29.11,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000039,ACC0000001,2024-08-15T20:42:12+00:00,2024-08-15T20:42:12+00:00,3210.53,EUR,IN,TRANSFER,,CP000234,TRANSFER,BOOKED
TXN0000000040,ACC0000001,2024-08-04T05:32:37+00:00,2024-08-04T05:32:37+00:00,-24.0,EUR,OUT,CARD,MRC000004,,CARD_PURCHASE,BOOKED
TXN0000000041,ACC0000001,2024-08-13T11:06:02+00:00,2024-08-14T11:06:02+00:00,-67.46,EUR,OUT,CARD,MRC000003,,CARD_PURCHASE,BOOKED
TXN0000000042,ACC0000001,2024-08-17T20:44:48+00:00,2024-08-18T20:44:48+00:00,-31.44,EUR,OUT,CARD,MRC000013,,CARD_PURCHASE,BOOKED
TXN0000000043,ACC0000001,2024-08-29T04:03:54+00:00,2024-08-29T04:03:54+00:00,-3381.68,EUR,OUT,TRANSFER,,CP000100,TRANSFER,BOOKED
TXN0000000044,ACC0000001,2024-08-29T05:50:47+00:00,2024-08-29T05:50:47+00:00,-9.86,EUR,OUT,CARD,MRC000021,,CARD_PURCHASE,BOOKED
TXN0000000045,ACC0000001,2024-08-07T14:45:37+00:00,2024-08-07T14:45:37+00:00,-51.54,EUR,OUT,CARD,MRC000022,,CARD_PURCHASE,BOOKED
TXN0000000046,ACC0000001,2024-08-25T19:10:40+00:00,2024-08-25T19:10:40+00:00,4011.58,EUR,IN,TRANSFER,,CP000278,TRANSFER,BOOKED
TXN0000000047,ACC0000001,2024-08-18T18:55:03+00:00,2024-08-18T18:55:03+00:00,-71.39,EUR,OUT,CARD,MRC000014,,CARD_PURCHASE,BOOKED
TXN0000000048,ACC0000001,2024-08-08T01:16:51+00:00,2024-08-08T01:16:51+00:00,-77.84,EUR,OUT,CARD,MRC000021,,CARD_PURCHASE,BOOKED
TXN0000000049,ACC0000001,2024-08-06T00:11:12+00:00,2024-08-08T00:11:12+00:00,-63.73,EUR,OUT,CARD,MRC000003,,CARD_PURCHASE,BOOKED
TXN0000000050,ACC0000001,2024-08-14T11:27:20+00:00,2024-08-14T11:27:20+00:00,-3572.77,EUR,OUT,TRANSFER,,CP000100,TRANSFER,BOOKED
TXN0000000051,ACC0000001,2024-08-26T03:56:29+00:00,2024-08-26T03:56:29+00:00,-4301.68,EUR,OUT,TRANSFER,,CP000100,TRANSFER,BOOKED
TXN0000000052,ACC0000001,2024-08-19T15:27:04+00:00,2024-08-20T15:27:04+00:00,-286.99,EUR,OUT,CARD,MRC000002,,CARD_PURCHASE,BOOKED
TXN0000000053,ACC0000001,2024-08-16T03:45:03+00:00,2024-08-16T03:45:03+00:00,-72.18,EUR,OUT,CARD,MRC000004,,CARD_PURCHASE,BOOKED
TXN0000000054,ACC0000001,2024-08-31T19:36:29+00:00,2024-09-01T19:36:29+00:00,-64.28,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000055,ACC0000001,2024-08-30T04:53:01+00:00,2024-08-30T04:53:01+00:00,2620.53,EUR,IN,TRANSFER,,CP000234,TRANSFER,BOOKED
TXN0000000056,ACC0000001,2024-08-08T00:40:06+00:00,2024-08-10T00:40:06+00:00,-200.0,EUR,OUT,ATM,,,ATM_WITHDRAWAL,BOOKED
TXN0000000057,ACC0000001,2024-08-30T03:52:29+00:00,2024-08-30T03:52:29+00:00,-74.52,EUR,OUT,CARD,MRC000014,,CARD_PURCHASE,BOOKED
TXN0000000058,ACC0000001,2024-08-13T12:53:26+00:00,2024-08-13T12:53:26+00:00,-29.54,EUR,OUT,CARD,MRC000003,,CARD_PURCHASE,BOOKED
TXN0000000059,ACC0000001,2024-08-13T12:01:49+00:00,2024-08-13T12:01:49+00:00,-77.48,EUR,OUT,CARD,MRC000011,,CARD_PURCHASE,BOOKED
TXN0000000060,ACC0000001,2024-08-02T22:52:23+00:00,2024-08-02T22:52:23+00:00,-24.04,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000061,ACC0000001,2024-08-07T08:12:30+00:00,2024-08-07T08:12:30+00:00,-51.0,EUR,OUT,CARD,MRC000004,,CARD_PURCHASE,BOOKED
TXN0000000062,ACC0000001,2024-08-17T20:21:18+00:00,2024-08-18T20:21:18+00:00,-36.79,EUR,OUT,CARD,MRC000011,,CARD_PURCHASE,BOOKED
TXN0000000063,ACC0000001,2024-08-01T03:48:43+00:00,2024-08-01T03:48:43+00:00,-60.79,EUR,OUT,CARD,MRC000002,,CARD_PURCHASE,BOOKED
TXN0000000064,ACC0000001,2024-09-13T07:43:29+00:00,2024-09-13T07:43:29+00:00,-19.5,EUR,OUT,SYSTEM,,,BANK_FEE,BOOKED
TXN0000000065,ACC0000001,2024-09-17T06:37:42+00:00,2024-09-17T06:37:42+00:00,-2785.14,EUR,OUT,TRANSFER,,CP000207,TRANSFER,BOOKED
TXN0000000066,ACC0000001,2024-09-23T22:28:33+00:00,2024-09-23T22:28:33+00:00,-79.19,EUR,OUT,CARD,MRC000023,,CARD_PURCHASE,BOOKED
TXN0000000067,ACC0000001,2024-09-30T16:40:54+00:00,2024-09-30T16:40:54+00:00,-34.88,EUR,OUT,CARD,MRC000006,,CARD_PURCHASE,BOOKED
TXN0000000068,ACC0000001,2024-09-08T21:12:25+00:00,2024-09-08T21:12:25+00:00,-40.0,EUR,OUT,ATM,,,ATM_WITHDRAWAL,BOOKED
TXN0000000069,ACC0000001,2024-09-25T07:34:10+00:00,2024-09-26T07:34:10+00:00,24.67,EUR,IN,SYSTEM,,,INTEREST,BOOKED
TXN0000000070,ACC0000001,2024-10-23T01:04:26+00:00,2024-10-23T01:04:26+00:00,-76.17,EUR,OUT,CARD,MRC000012,,CARD_PURCHASE,BOOKED
TXN0000000071,ACC0000001,2024-10-07T06:21:15+00:00,2024-10-07T06:21:15+00:00,1246.16,EUR,IN,TRANSFER,,CP000234,TRANSFER,BOOKED
TXN0000000072,ACC0000001,2024-10-06T04:03:25+00:00,2024-10-07T04:03:25+00:00,2196.1,EUR,IN,TRANSFER,,CP000100,TRANSFER,BOOKED
TXN0000000073,ACC0000001,2024-10-06T00:10:06+00:00,2024-10-06T00:10:06+00:00,-51.34,EUR,OUT,CARD,MRC000017,,CARD_PURCHASE,BOOKED
TXN0000000074,ACC0000001,2024-10-21T15:05:59+00:00,2024-10-21T15:05:59+00:00,-61.99,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000075,ACC0000001,2024-10-12T22:27:52+00:00,2024-10-12T22:27:52+00:00,-40.0,EUR,OUT,ATM,MRC000011,,ATM_WITHDRAWAL,BOOKED
TXN0000000076,ACC0000001,2024-10-14T01:10:22+00:00,2024-10-14T01:10:22+00:00,-124.51,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000077,ACC0000001,2024-10-15T06:44:08+00:00,2024-10-15T06:44:08+00:00,-14.51,EUR,OUT,CARD,MRC000002,,CARD_PURCHASE,BOOKED
TXN0000000078,ACC0000001,2024-10-22T08:25:05+00:00,2024-10-22T08:25:05+00:00,1393.82,EUR,IN,TRANSFER,,CP000329,TRANSFER,BOOKED
TXN0000000079,ACC0000001,2024-10-18T21:59:24+00:00,2024-10-18T21:59:24+00:00,5177.6,EUR,IN,TRANSFER,,CP000234,TRANSFER,BOOKED
TXN0000000080,ACC0000001,2024-10-24T16:33:31+00:00,2024-10-24T16:33:31+00:00,-655.14,EUR,OUT,TRANSFER,,CP000269,TRANSFER,BOOKED
TXN0000000081,ACC0000001,2024-10-13T07:15:39+00:00,2024-10-13T07:15:39+00:00,-20.71,EUR,OUT,CARD,MRC000002,,CARD_PURCHASE,BOOKED
TXN0000000082,ACC0000001,2024-10-08T04:25:05+00:00,2024-10-08T04:25:05+00:00,-26.42,EUR,OUT,CARD,MRC000005,,CARD_PURCHASE,BOOKED
TXN0000000083,ACC0000001,2024-10-04T06:29:57+00:00,2024-10-04T06:29:57+00:00,-52.97,EUR,OUT,CARD,MRC000004,,CARD_PURCHASE,BOOKED
TXN0000000084,ACC0000001,2024-10-13T15:30:56+00:00,2024-10-13T15:30:56+00:00,-3161.2,EUR,OUT,TRANSFER,,CP000100,TRANSFER,BOOKED
TXN0000000085,ACC0000001,2024-10-26T08:50:59+00:00,2024-10-27T08:50:59+00:00,-189.0,EUR,OUT,CARD,MRC000011,,CARD_PURCHASE,BOOKED
TXN0000000086,ACC0000001,2024-10-15T08:11:19+00:00,2024-10-15T08:11:19+00:00,4057.01,EUR,IN,TRANSFER,,CP000078,TRANSFER,BOOKED
TXN0000000087,ACC0000001,2024-10-07T13:35:46+00:00,2024-10-07T13:35:46+00:00,-20.0,EUR,OUT,ATM,MRC000001,,ATM_WITHDRAWAL,BOOKED
TXN0000000088,ACC0000001,2024-10-31T13:31:26+00:00,2024-11-01T13:31:26+00:00,-69.85,EUR,OUT,CARD,MRC000004,,CARD_PURCHASE,BOOKED
TXN0000000089,ACC0000001,2024-10-31T12:47:45+00:00,2024-10-31T12:47:45+00:00,-77.01,EUR,OUT,CARD,MRC000006,,CARD_PURCHASE,BOOKED
TXN0000000090,ACC0000001,2024-10-21T08:22:17+00:00,2024-10-21T08:22:17+00:00,-1102.23,EUR,OUT,CARD,MRC000009,,CARD_PURCHASE,BOOKED
TXN0000000091,ACC0000001,2024-10-20T01:15:04+00:00,2024-10-20T01:15:04+00:00,-79.47,EUR,OUT,CARD,MRC000016,,CARD_PURCHASE,BOOKED
TXN0000000092,ACC0000001,2024-10-06T15:37:53+00:00,2024-10-07T15:37:53+00:00,4211.07,EUR,IN,TRANSFER,,CP000234,TRANSFER,BOOKED
TXN0000000093,ACC0000001,2024-10-03T12:37:45+00:00,2024-10-03T12:37:45+00:00,-65.27,EUR,OUT,CARD,MRC000007,,CARD_PURCHASE,BOOKED
TXN0000000094,ACC0000001,2024-10-10T07:00:01+00:00,2024-10-10T07:00:01+00:00,-4507.83,EUR,OUT,TRANSFER,,CP000196,TRANSFER,BOOKED
TXN0000000095,ACC0000001,2024-10-25T05:10:27+00:00,2024-10-26T05:10:27+00:00,-294.5,EUR,OUT,TRANSFER,,CP000269,TRANSFER,BOOKED
TXN0000000096,ACC0000001,2024-11-04T16:12:57+00:00,2024-11-05T16:12:57+00:00,-7.15,EUR,OUT,CARD,MRC000005,,CARD_PURCHASE,BOOKED
TXN0000000097,ACC0000001,2024-11-10T07:47:19+00:00,2024-11-10T07:47:19+00:00,-45.45,EUR,OUT,CARD,MRC000002,,CARD_PURCHASE,BOOKED
TXN0000000098,ACC0000001,2024-11-29T06:15:05+00:00,2024-11-29T06:15:05+00:00,30.72,EUR,IN,SYSTEM,,,INTEREST,BOOKED
TXN0000000099,ACC0000001,2024-11-13T22:56:49+00:00,2024-11-13T22:56:49+00:00,-3930.5,EUR,OUT,TRANSFER,,CP000269,TRANSFER,BOOKED
TXN0000000100,ACC0000001,2024-12-23T00:58:08+00:00,2024-12-23T00:58:08+00:00,-120.27,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000101,ACC0000001,2024-12-08T07:38:53+00:00,2024-12-08T07:38:53+00:00,-8.32,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000102,ACC0000001,2024-12-30T15:48:10+00:00,2024-12-30T15:48:10+00:00,-64.38,EUR,OUT,CARD,MRC000024,,CARD_PURCHASE,BOOKED
TXN0000000103,ACC0000001,2024-12-31T21:32:56+00:00,2025-01-01T21:32:56+00:00,2001.41,EUR,IN,TRANSFER,,CP000090,TRANSFER,BOOKED
TXN0000000104,ACC0000001,2024-12-05T11:28:34+00:00,2024-12-06T11:28:34+00:00,-200.0,EUR,OUT,ATM,,,ATM_WITHDRAWAL,BOOKED
TXN0000000105,ACC0000001,2024-12-09T22:21:39+00:00,2024-12-09T22:21:39+00:00,-135.22,EUR,OUT,CARD,MRC000006,,CARD_PURCHASE,BOOKED
TXN0000000106,ACC0000001,2024-12-04T04:06:43+00:00,2024-12-04T04:06:43+00:00,3847.07,EUR,IN,TRANSFER,,CP000234,TRANSFER,BOOKED
TXN0000000107,ACC0000001,2024-12-20T08:09:04+00:00,2024-12-20T08:09:04+00:00,-208.94,EUR,OUT,CARD,MRC000014,,CARD_PURCHASE,BOOKED
TXN0000000108,ACC0000001,2024-12-01T13:29:35+00:00,2024-12-02T13:29:35+00:00,-45.58,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000109,ACC0000001,2024-12-25T18:24:28+00:00,2024-12-27T18:24:28+00:00,-30.94,EUR,OUT,CARD,MRC000004,,CARD_PURCHASE,BOOKED
TXN0000000110,ACC0000001,2025-01-17T14:48:16+00:00,2025-01-18T14:48:16+00:00,-1172.49,EUR,OUT,TRANSFER,,CP000218,TRANSFER,BOOKED
TXN0000000111,ACC0000001,2025-01-09T17:20:32+00:00,2025-01-09T17:20:32+00:00,-54.08,EUR,OUT,CARD,MRC000013,,CARD_PURCHASE,BOOKED
TXN0000000112,ACC0000001,2025-01-25T05:23:29+00:00,2025-01-25T05:23:29+00:00,-32.2,EUR,OUT,CARD,MRC000009,,CARD_PURCHASE,BOOKED
TXN0000000113,ACC0000001,2025-01-11T14:17:32+00:00,2025-01-11T14:17:32+00:00,-74.08,EUR,OUT,CARD,MRC000020,,CARD_PURCHASE,BOOKED
TXN0000000114,ACC0000001,2025-01-08T17:42:29+00:00,2025-01-08T17:42:29+00:00,-14.45,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000115,ACC0000001,2025-01-30T08:33:50+00:00,2025-01-30T08:33:50+00:00,-33.68,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000116,ACC0000001,2025-01-11T07:12:17+00:00,2025-01-13T07:12:17+00:00,-35.56,EUR,OUT,CARD,MRC000010,,CARD_PURCHASE,BOOKED
TXN0000000117,ACC0000001,2025-01-04T19:34:08+00:00,2025-01-05T19:34:08+00:00,-49.16,EUR,OUT,CARD,MRC000014,,CARD_PURCHASE,BOOKED
TXN0000000118,ACC0000001,2025-01-18T17:21:23+00:00,2025-01-18T17:21:23+00:00,-66.83,EUR,OUT,CARD,MRC000018,,CARD_PURCHASE,BOOKED
TXN0000000119,ACC0000001,2025-01-06T12:28:33+00:00,2025-01-06T12:28:33+00:00,-39.99,EUR,OUT,CARD,MRC000010,,CARD_PURCHASE,BOOKED
TXN0000000120,ACC0000001,2025-01-07T01:05:54+00:00,2025-01-08T01:05:54+00:00,-70.67,EUR,OUT,CARD,MRC000003,,CARD_PURCHASE,BOOKED
TXN0000000121,ACC0000001,2025-01-10T02:55:04+00:00,2025-01-12T02:55:04+00:00,3962.03,EUR,IN,TRANSFER,,CP000234,TRANSFER,BOOKED
TXN0000000122,ACC0000001,2025-02-16T15:52:33+00:00,2025-02-16T15:52:33+00:00,19.32,EUR,IN,SYSTEM,,,INTEREST,BOOKED
TXN0000000123,ACC0000001,2025-02-22T04:11:14+00:00,2025-02-23T04:11:14+00:00,-5.75,EUR,OUT,CARD,MRC000011,,CARD_PURCHASE,BOOKED
TXN0000000124,ACC0000001,2025-02-15T10:42:07+00:00,2025-02-16T10:42:07+00:00,-4656.04,EUR,OUT,TRANSFER,,CP000100,TRANSFER,BOOKED
TXN0000000125,ACC0000001,2025-02-01T18:25:48+00:00,2025-02-02T18:25:48+00:00,-82.62,EUR,OUT,CARD,MRC000012,,CARD_PURCHASE,BOOKED
TXN0000000126,ACC0000001,2025-02-16T04:08:25+00:00,2025-02-16T04:08:25+00:00,-1591.68,EUR,OUT,TRANSFER,,CP000367,TRANSFER,BOOKED
TXN0000000127,ACC0000001,2025-02-08T00:49:30+00:00,2025-02-08T00:49:30+00:00,-31.46,EUR,OUT,CARD,MRC000002,,CARD_PURCHASE,BOOKED
TXN0000000128,ACC0000001,2025-02-04T07:00:14+00:00,2025-02-04T07:00:14+00:00,-63.39,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000129,ACC0000001,2025-02-14T17:04:21+00:00,2025-02-14T17:04:21+00:00,-40.0,EUR,OUT,ATM,,,ATM_WITHDRAWAL,BOOKED
TXN0000000130,ACC0000001,2025-02-01T21:48:15+00:00,2025-02-02T21:48:15+00:00,4820.87,EUR,IN,TRANSFER,,CP000100,TRANSFER,BOOKED
TXN0000000131,ACC0000001,2025-02-07T01:04:55+00:00,2025-02-09T01:04:55+00:00,-30.11,EUR,OUT,CARD,MRC000003,,CARD_PURCHASE,BOOKED
TXN0000000132,ACC0000001,2025-02-02T03:54:48+00:00,2025-02-03T03:54:48+00:00,-68.22,EUR,OUT,CARD,MRC000008,,CARD_PURCHASE,BOOKED
TXN0000000133,ACC0000001,2025-02-17T21:58:01+00:00,2025-02-18T21:58:01+00:00,-29.81,EUR,OUT,CARD,MRC000004,,CARD_PURCHASE,BOOKED
TXN0000000134,ACC0000001,2025-02-09T11:46:07+00:00,2025-02-09T11:46:07+00:00,-19.34,EUR,OUT,SYSTEM,,,BANK_FEE,BOOKED
TXN0000000135,ACC0000001,2025-02-12T16:42:10+00:00,2025-02-14T16:42:10+00:00,-149.0,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000136,ACC0000001,2025-02-14T08:39:07+00:00,2025-02-14T08:39:07+00:00,826.18,EUR,IN,TRANSFER,,CP000100,TRANSFER,BOOKED
TXN0000000137,ACC0000001,2025-02-27T22:50:22+00:00,2025-02-27T22:50:22+00:00,-72.08,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000138,ACC0000001,2025-02-25T17:40:38+00:00,2025-02-25T17:40:38+00:00,-54.56,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000139,ACC0000001,2025-02-07T08:11:53+00:00,2025-02-07T08:11:53+00:00,-100.0,EUR,OUT,ATM,,,ATM_WITHDRAWAL,BOOKED
TXN0000000140,ACC0000001,2025-02-12T17:11:33+00:00,2025-02-13T17:11:33+00:00,-73.06,EUR,OUT,CARD,MRC000029,,CARD_PURCHASE,BOOKED
TXN0000000141,ACC0000001,2025-02-25T12:39:15+00:00,2025-02-25T12:39:15+00:00,-54.31,EUR,OUT,CARD,MRC000002,,CARD_PURCHASE,BOOKED
TXN0000000142,ACC0000001,2025-03-27T20:23:27+00:00,2025-03-28T20:23:27+00:00,-28.13,EUR,OUT,CARD,MRC000006,,CARD_PURCHASE,BOOKED
TXN0000000143,ACC0000001,2025-03-16T11:11:44+00:00,2025-03-16T11:11:44+00:00,-100.0,EUR,OUT,ATM,,,ATM_WITHDRAWAL,BOOKED
TXN0000000144,ACC0000001,2025-03-03T08:25:01+00:00,2025-03-05T08:25:01+00:00,-39.78,EUR,OUT,CARD,MRC000011,,CARD_PURCHASE,BOOKED
TXN0000000145,ACC0000001,2025-04-11T01:27:24+00:00,2025-04-12T01:27:24+00:00,-4831.63,EUR,OUT,TRANSFER,,CP000269,TRANSFER,BOOKED
TXN0000000146,ACC0000001,2025-04-09T02:25:53+00:00,2025-04-11T02:25:53+00:00,-45.43,EUR,OUT,CARD,MRC000011,,CARD_PURCHASE,BOOKED
TXN0000000147,ACC0000001,2025-04-28T08:18:51+00:00,2025-04-28T08:18:51+00:00,-55.76,EUR,OUT,CARD,MRC000007,,CARD_PURCHASE,BOOKED
TXN0000000148,ACC0000001,2025-04-23T00:44:20+00:00,2025-04-25T00:44:20+00:00,-31.52,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000149,ACC0000001,2025-04-06T22:42:03+00:00,2025-04-06T22:42:03+00:00,-46.59,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000150,ACC0000001,2025-04-18T15:53:13+00:00,2025-04-19T15:53:13+00:00,-78.66,EUR,OUT,CARD,MRC000001,,CARD_PURCHASE,BOOKED
TXN0000000151,ACC0000001,2025-04-14T10:24:15+00:00,2025-04-14T10:24:15+00:00,-20.0,EUR,OUT,ATM,,,ATM_WITHDRAWAL,BOOKED
TXN0000000152,ACC0000001,2025-04-06T05:05:38+00:00,2025-04-06T05:05:38+00:00,-77.28,EUR,OUT,CARD,MRC000004,,CARD_PURCHASE,BOOKED
TXN0000000153,ACC0000001,2025-04-19T18:58:04+00:00,2025-04-20T18:58:04+00:00,-74.06,EUR,OUT,CARD,MRC000025,,CARD_PURCHASE,BOOKED
TXN0000000154,ACC0000001,2025-04-01T16:57:19+00:00,2025-04-01T16:57:19+00:00,-39.5,EUR,OUT,CARD,MRC000019,,CARD_PURCHASE,BOOKED
TXN0000000155,ACC0000001,2025-04-06T20:43:19+00:00,2025-04-07T20:43:19+00:00,2179.67,EUR,IN,TRANSFER,,CP000234,TRANSFER,BOOKED
