dispute_id,transaction_id,reason,opened_date,resolved_date,outcome
DSP0000000067,TXN0000019013,MERCHANT_DISPUTE,2026-03-19,2026-06-17,LOST
DSP0000000068,TXN0000019033,NOT_RECEIVED,2026-01-18,2026-03-15,LOST
DSP0000000069,TXN0000019124,AMOUNT_INCORRECT,2023-03-14,2023-03-30,WON
DSP0000000070,TXN0000019455,DUPLICATE,2024-02-09,2024-04-02,WON
DSP0000000071,TXN0000019480,DUPLICATE,2024-02-24,2024-04-22,WON
DSP0000000072,TXN0000019826,FRAUD_SUSPECTED,2025-12-30,2026-02-10,WON
DSP0000000073,TXN0000019833,MERCHANT_DISPUTE,2026-01-15,2026-01-31,LOST
DSP0000000074,TXN0000020145,DUPLICATE,2024-04-24,2024-07-20,WON
DSP0000000075,TXN0000020289,FRAUD_SUSPECTED,2024-10-25,2025-01-21,WON
DSP0000000076,TXN0000020617,MERCHANT_DISPUTE,2025-12-20,2026-02-16,WON
DSP0000000077,TXN0000021213,MERCHANT_DISPUTE,2024-07-16,2024-08-24,WON
DSP0000000078,TXN0000021249,AMOUNT_INCORRECT,2024-10-12,2024-10-23,LOST
DSP0000000079,TXN0000021286,MERCHANT_DISPUTE,2024-12-03,2025-01-26,LOST
DSP0000000080,TXN0000021340,NOT_RECEIVED,2025-03-04,2025-04-17,WON
DSP0000000081,TXN0000021564,AMOUNT_INCORRECT,2025-10-06,2025-12-18,WON
DSP0000000082,TXN0000021595,MERCHANT_DISPUTE,2025-10-26,2025-11-12,LOST
DSP0000000083,TXN0000021853,DUPLICATE,2024-02-11,2024-02-27,LOST
DSP0000000084,TXN0000021961,MERCHANT_DISPUTE,2025-01-04,2025-01-31,WON
DSP0000000085,TXN0000021987,AMOUNT_INCORRECT,2025-03-07,2025-04-08,LOST
DSP0000000086,TXN0000022102,DUPLICATE,2025-06-07,2025-07-02,LOST
DSP0000000087,TXN0000022778,DUPLICATE,2023-07-11,,PENDING
DSP0000000088,TXN0000023266,NOT_RECEIVED,2023-12-14,2023-12-27,WON
DSP0000000089,TXN0000023570,DUPLICATE,2025-03-22,2025-04-23,LOST
DSP0000000090,TXN0000023607,MERCHANT_DISPUTE,2025-05-31,2025-06-23,PENDING
DSP0000000091,TXN0000023900,WRONG_BENEFICIARY,2024-02-25,2024-04-14,WON
DSP0000000092,TXN0000024195,FRAUD_SUSPECTED,2026-04-02,2026-06-30,LOST
DSP0000000093,TXN0000024402,DUPLICATE,2024-12-28,2025-03-24,WON
DSP0000000094,TXN0000024557,FRAUD_SUSPECTED,2025-12-03,2026-02-17,WON
DSP0000000095,TXN0000024563,FRAUD_SUSPECTED,2025-11-08,2025-11-25,LOST
DSP0000000096,TXN0000024764,NOT_RECEIVED,2025-01-14,2025-04-08,WON
DSP0000000097,TXN0000024934,FRAUD_SUSPECTED,2026-03-13,2026-03-30,WON
DSP0000000098,TXN0000025297,DUPLICATE,2025-08-10,2025-10-06,WON
DSP0000000099,TXN0000025489,MERCHANT_DISPUTE,2023-08-11,2023-10-17,PARTIAL
DSP0000000100,TXN0000025671,MERCHANT_DISPUTE,2024-08-26,2024-10-06,LOST
DSP0000000101,TXN0000026666,FRAUD_SUSPECTED,2024-09-16,2024-09-24,WON
DSP0000000102,TXN0000026729,AMOUNT_INCORRECT,2024-12-25,2025-03-21,WON
DSP0000000103,TXN0000026771,WRONG_BENEFICIARY,2025-02-05,2025-04-26,PARTIAL
DSP0000000104,TXN0000026991,AMOUNT_INCORRECT,2024-09-02,2024-10-11,WON
DSP0000000105,TXN0000027063,MERCHANT_DISPUTE,2024-11-07,2025-01-12,LOST
DSP0000000106,TXN0000027590,DUPLICATE,2023-11-08,2023-12-19,WON
DSP0000000107,TXN0000027756,FRAUD_SUSPECTED,2024-12-15,2025-02-15,WON
DSP0000000108,TXN0000027800,AMOUNT_INCORRECT,2025-02-07,2025-03-12,WON
DSP0000000109,TXN0000027846,FRAUD_SUSPECTED,2025-05-11,2025-07-29,WON
DSP0000000110,TXN0000027961,MERCHANT_DISPUTE,2025-10-22,2025-11-20,WON
DSP0000000111,TXN0000028181,FRAUD_SUSPECTED,2023-06-25,2023-07-02,WON
DSP0000000112,TXN0000028222,DUPLICATE,2024-01-23,2024-04-18,LOST
DSP0000000113,TXN0000028245,NOT_RECEIVED,2024-03-06,,PARTIAL
DSP0000000114,TXN0000028370,NOT_RECEIVED,2024-10-06,2024-10-15,PENDING
DSP0000000115,TXN0000028749,MERCHANT_DISPUTE,2023-06-22,2023-08-25,WON
DSP0000000116,TXN0000028813,FRAUD_SUSPECTED,2023-08-27,2023-10-22,WON
DSP0000000117,TXN0000029050,MERCHANT_DISPUTE,2024-11-23,2025-02-10,PARTIAL
DSP0000000118,TXN0000029704,FRAUD_SUSPECTED,2024-01-31,2024-02-15,LOST
DSP0000000119,TXN0000029973,MERCHANT_DISPUTE,2025-06-17,2025-07-10,LOST
DSP0000000120,TXN0000030256,NOT_RECEIVED,2024-01-06,2024-03-11,WON
DSP0000000121,TXN0000030899,FRAUD_SUSPECTED,2025-01-16,2025-02-25,WON
DSP0000000122,TXN0000031199,AMOUNT_INCORRECT,2026-03-18,2026-06-01,WON
DSP0000000123,TXN0000031302,AMOUNT_INCORRECT,2023-11-12,2023-12-19,WON
DSP0000000124,TXN0000031512,FRAUD_SUSPECTED,2024-11-25,2024-12-15,WON
DSP0000000125,TXN0000032246,FRAUD_SUSPECTED,2024-05-22,2024-05-27,LOST
DSP0000000126,TXN0000032472,MERCHANT_DISPUTE,2025-08-14,2025-11-08,LOST
DSP0000000127,TXN0000032518,FRAUD_SUSPECTED,2025-09-07,2025-10-19,LOST
DSP0000000128,TXN0000032791,NOT_RECEIVED,2023-12-03,2024-01-15,WON
DSP0000000129,TXN0000033545,AMOUNT_INCORRECT,2025-08-24,,WON
DSP0000000130,TXN0000033580,NOT_RECEIVED,2026-01-02,2026-01-08,PARTIAL
DSP0000000131,TXN0000033690,AMOUNT_INCORRECT,2026-02-08,2026-03-29,LOST
DSP0000000132,TXN0000033735,NOT_RECEIVED,2026-03-29,2026-04-30,PARTIAL
DSP0000000133,TXN0000033897,MERCHANT_DISPUTE,2023-07-03,,WON
DSP0000000134,TXN0000034458,DUPLICATE,2025-10-22,2025-11-05,WON
DSP0000000135,TXN0000034475,DUPLICATE,2025-11-09,2025-12-07,WON
DSP0000000136,TXN0000034616,MERCHANT_DISPUTE,2024-08-05,2024-10-01,WON
DSP0000000137,TXN0000034732,NOT_RECEIVED,2025-01-01,2025-03-11,PENDING
DSP0000000138,TXN0000035546,AMOUNT_INCORRECT,2026-03-12,2026-05-30,PARTIAL
DSP0000000139,TXN0000035713,FRAUD_SUSPECTED,2025-08-19,2025-11-13,PARTIAL
DSP0000000140,TXN0000035736,FRAUD_SUSPECTED,2025-09-30,2025-11-18,LOST
DSP0000000141,TXN0000036081,AMOUNT_INCORRECT,2025-03-18,2025-06-05,WON
DSP0000000142,TXN0000036192,NOT_RECEIVED,2025-06-24,2025-08-16,WON
DSP0000000143,TXN0000036198,MERCHANT_DISPUTE,2025-06-14,,WON
DSP0000000144,TXN0000036600,NOT_RECEIVED,2023-10-28,2023-12-24,WON
DSP0000000145,TXN0000036664,FRAUD_SUSPECTED,2024-04-05,2024-04-12,WON
DSP0000000146,TXN0000036755,DUPLICATE,2024-11-16,2025-02-12,WON
DSP0000000147,TXN0000036968,FRAUD_SUSPECTED,2025-08-09,2025-10-08,LOST
DSP0000000148,TXN0000037287,NOT_RECEIVED,2024-11-03,2024-12-01,WON
DSP0000000149,TXN0000037335,AMOUNT_INCORRECT,2025-01-27,2025-04-22,WON
DSP0000000150,TXN0000037877,AMOUNT_INCORRECT,2025-09-19,2025-11-30,LOST
DSP0000000151,TXN0000037905,AMOUNT_INCORRECT,2026-03-17,2026-05-06,WON
DSP0000000152,TXN0000038146,AMOUNT_INCORRECT,2025-05-27,2025-06-25,LOST
DSP0000000153,TXN0000038593,AMOUNT_INCORRECT,2025-05-13,2025-06-27,LOST
DSP0000000154,TXN0000038829,DUPLICATE,2025-01-21,2025-03-21,WON
DSP0000000155,TXN0000038872,MERCHANT_DISPUTE,2025-09-26,2025-12-10,WON
DSP0000000156,TXN0000039993,NOT_RECEIVED,2026-02-04,2026-03-11,WON
DSP0000000157,TXN0000040005,MERCHANT_DISPUTE,2023-02-27,2023-05-06,LOST
DSP0000000158,TXN0000040030,FRAUD_SUSPECTED,2023-04-03,2023-04-14,WON
DSP0000000159,TXN0000040279,NOT_RECEIVED,2023-11-11,2024-01-22,PARTIAL
DSP0000000160,TXN0000040442,FRAUD_SUSPECTED,2025-03-01,,WON
DSP0000000161,TXN0000040806,DUPLICATE,2023-01-13,2023-04-11,PARTIAL
DSP0000000162,TXN0000040930,NOT_RECEIVED,2023-04-16,2023-05-10,LOST
DSP0000000163,TXN0000040955,MERCHANT_DISPUTE,2023-07-02,2023-08-29,WON
DSP0000000164,TXN0000041125,AMOUNT_INCORRECT,2024-07-12,2024-08-29,WON
DSP0000000165,TXN0000041415,NOT_RECEIVED,2023-03-31,2023-05-01,LOST
DSP0000000166,TXN0000041640,NOT_RECEIVED,2024-03-09,2024-05-30,WON
DSP0000000167,TXN0000042105,FRAUD_SUSPECTED,2025-12-09,,WON
DSP0000000168,TXN0000042264,MERCHANT_DISPUTE,2026-04-04,2026-04-12,PENDING
DSP0000000169,TXN0000042873,DUPLICATE,2026-02-21,2026-05-18,WON
DSP0000000170,TXN0000042912,UNAUTHORIZED_TRANSFER,2025-11-10,2026-01-04,WON
DSP0000000171,TXN0000043109,FRAUD_SUSPECTED,2024-02-04,2024-04-07,PENDING
DSP0000000172,TXN0000043383,FRAUD_SUSPECTED,2026-02-08,2026-04-16,LOST
DSP0000000173,TXN0000043429,DUPLICATE,2023-09-28,2023-11-22,WON
DSP0000000174,TXN0000043859,AMOUNT_INCORRECT,2024-07-13,2024-08-22,WON
DSP0000000175,TXN0000044023,DUPLICATE,2025-06-07,2025-07-20,LOST
DSP0000000176,TXN0000044075,FRAUD_SUSPECTED,2026-01-13,2026-02-17,LOST
DSP0000000177,TXN0000044189,FRAUD_SUSPECTED,2024-01-02,2024-02-14,LOST
DSP0000000178,TXN0000044213,NOT_RECEIVED,2024-07-03,2024-08-24,LOST
DSP0000000179,TXN0000044972,NOT_RECEIVED,2024-08-07,2024-08-27,PARTIAL
DSP0000000180,TXN0000045300,NOT_RECEIVED,2025-05-07,2025-07-13,LOST
DSP0000000181,TXN0000045325,WRONG_BENEFICIARY,2025-06-05,2025-06-23,WON
DSP0000000182,TXN0000045382,AMOUNT_INCORRECT,2025-12-25,2026-01-24,WON
DSP0000000183,TXN0000046355,DUPLICATE,2024-08-23,2024-09-16,PARTIAL
DSP0000000184,TXN0000046676,AMOUNT_INCORRECT,2024-02-06,2024-02-23,LOST
DSP0000000185,TXN0000046879,FRAUD_SUSPECTED,2025-04-13,2025-06-03,PENDING
DSP0000000186,TXN0000047008,DUPLICATE,2026-03-18,2026-06-09,WON
DSP0000000187,TXN0000047029,SCAM_SUSPECTED,2026-04-04,,LOST
DSP0000000188,TXN0000047468,MERCHANT_DISPUTE,2025-02-04,2025-02-21,LOST
DSP0000000189,TXN0000047570,AMOUNT_INCORRECT,2025-07-10,2025-08-16,LOST
DSP0000000190,TXN0000047943,NOT_RECEIVED,2024-08-08,2024-08-18,LOST
DSP0000000191,TXN0000048027,DUPLICATE,2024-11-13,2025-02-09,WON
DSP0000000192,TXN0000048171,DUPLICATE,2025-07-05,2025-08-29,LOST
DSP0000000193,TXN0000049014,AMOUNT_INCORRECT,2025-05-28,,LOST
DSP0000000194,TXN0000049025,DUPLICATE,2025-04-11,2025-07-06,LOST
DSP0000000195,TXN0000049066,NOT_RECEIVED,2025-09-08,2025-10-09,LOST
DSP0000000196,TXN0000049616,AMOUNT_INCORRECT,2024-10-29,2024-11-21,PARTIAL
DSP0000000197,TXN0000049822,FRAUD_SUSPECTED,2025-09-15,,WON
DSP0000000198,TXN0000050206,MERCHANT_DISPUTE,2025-03-14,,WON
DSP0000000199,TXN0000050467,AMOUNT_INCORRECT,2026-03-01,2026-05-22,LOST
DSP0000000200,TXN0000050986,WRONG_BENEFICIARY,2024-05-11,2024-07-31,WON
DSP0000000201,TXN0000051130,FRAUD_SUSPECTED,2025-03-31,2025-06-22,LOST
DSP0000000202,TXN0000051635,FRAUD_SUSPECTED,2024-02-08,2024-05-03,LOST
DSP0000000203,TXN0000051874,FRAUD_SUSPECTED,2024-04-30,2024-07-22,WON
DSP0000000204,TXN0000052289,FRAUD_SUSPECTED,2023-09-13,2023-10-21,WON
DSP0000000205,TXN0000052560,MERCHANT_DISPUTE,2026-03-29,2026-06-23,WON
DSP0000000206,TXN0000052598,AMOUNT_INCORRECT,2023-04-06,,WON
DSP0000000207,TXN0000052987,AMOUNT_INCORRECT,2025-09-09,2025-10-26,WON
DSP0000000208,TXN0000053381,DUPLICATE,2023-06-08,2023-08-18,WON
DSP0000000209,TXN0000053477,MERCHANT_DISPUTE,2023-09-18,2023-11-07,WON
DSP0000000210,TXN0000053536,AMOUNT_INCORRECT,2024-02-15,2024-05-07,LOST
DSP0000000211,TXN0000053704,DUPLICATE,2024-12-16,2025-01-20,LOST
DSP0000000212,TXN0000053882,MERCHANT_DISPUTE,2025-12-08,2026-02-09,WON
DSP0000000213,TXN0000054308,NOT_RECEIVED,2026-03-01,2026-04-19,PENDING
DSP0000000214,TXN0000054587,DUPLICATE,2025-06-30,2025-08-25,PARTIAL
DSP0000000215,TXN0000054724,DUPLICATE,2023-04-28,2023-05-03,WON
DSP0000000216,TXN0000054823,AMOUNT_INCORRECT,2023-09-19,2023-09-27,WON
DSP0000000217,TXN0000055082,MERCHANT_DISPUTE,2024-10-16,2024-11-03,LOST
DSP0000000218,TXN0000056298,DUPLICATE,2026-01-23,2026-03-09,LOST
DSP0000000219,TXN0000056355,MERCHANT_DISPUTE,2026-02-20,2026-05-14,WON
DSP0000000220,TXN0000056460,NOT_RECEIVED,2026-03-12,2026-05-14,WON
DSP0000000221,TXN0000056511,AMOUNT_INCORRECT,2025-11-06,2026-01-11,LOST
DSP0000000222,TXN0000056734,NOT_RECEIVED,2023-12-09,2024-01-07,PARTIAL
DSP0000000223,TXN0000056955,AMOUNT_INCORRECT,2024-10-20,2025-01-01,WON
DSP0000000224,TXN0000057729,AMOUNT_INCORRECT,2025-01-18,2025-01-27,WON
DSP0000000225,TXN0000057973,AMOUNT_INCORRECT,2023-10-28,2023-11-12,WON
DSP0000000226,TXN0000058128,SCAM_SUSPECTED,2024-12-07,2025-01-19,PENDING
DSP0000000227,TXN0000058279,DUPLICATE,2026-02-09,2026-04-17,LOST
DSP0000000228,TXN0000058640,FRAUD_SUSPECTED,2025-07-13,2025-07-24,WON
DSP0000000229,TXN0000059066,MERCHANT_DISPUTE,2025-09-03,2025-11-13,LOST
DSP0000000230,TXN0000059451,MERCHANT_DISPUTE,2023-05-12,2023-07-01,WON
DSP0000000231,TXN0000059899,MERCHANT_DISPUTE,2025-04-26,2025-07-07,PARTIAL
DSP0000000232,TXN0000060971,MERCHANT_DISPUTE,2023-12-12,2024-03-10,WON
DSP0000000233,TXN0000062379,AMOUNT_INCORRECT,2023-11-19,2024-01-01,PENDING
DSP0000000234,TXN0000062397,DUPLICATE,2023-12-05,,WON
DSP0000000235,TXN0000062690,NOT_RECEIVED,2025-02-26,2025-03-22,LOST
DSP0000000236,TXN0000062977,MERCHANT_DISPUTE,2025-07-28,2025-08-25,WON
DSP0000000237,TXN0000063151,MERCHANT_DISPUTE,2026-02-21,2026-05-03,WON
DSP0000000238,TXN0000063610,UNAUTHORIZED_TRANSFER,2024-09-10,2024-10-21,LOST
DSP0000000239,TXN0000064335,MERCHANT_DISPUTE,2026-01-14,2026-03-27,PARTIAL
DSP0000000240,TXN0000064495,NOT_RECEIVED,2023-12-07,,PARTIAL
DSP0000000241,TXN0000064723,NOT_RECEIVED,2025-08-24,2025-10-24,WON
DSP0000000242,TXN0000065324,UNAUTHORIZED_TRANSFER,2025-09-09,2025-11-14,WON
DSP0000000243,TXN0000065661,AMOUNT_INCORRECT,2025-02-04,2025-04-28,WON
DSP0000000244,TXN0000065979,FRAUD_SUSPECTED,2023-06-24,2023-07-28,WON
DSP0000000245,TXN0000066122,MERCHANT_DISPUTE,2023-11-25,2023-12-13,WON
DSP0000000246,TXN0000067203,FRAUD_SUSPECTED,2024-09-22,2024-10-15,LOST
DSP0000000247,TXN0000067249,MERCHANT_DISPUTE,2025-03-22,2025-05-09,WON
DSP0000000248,TXN0000067376,FRAUD_SUSPECTED,2025-07-16,2025-10-03,WON
DSP0000000249,TXN0000067760,AMOUNT_INCORRECT,2024-12-14,2025-01-30,PARTIAL
DSP0000000250,TXN0000068286,WRONG_BENEFICIARY,2026-01-10,2026-02-17,WON
DSP0000000251,TXN0000069435,MERCHANT_DISPUTE,2025-10-06,2026-01-03,WON
DSP0000000252,TXN0000069544,FRAUD_SUSPECTED,2025-12-28,2026-03-25,LOST
DSP0000000253,TXN0000069549,DUPLICATE,2025-12-08,2025-12-13,WON
DSP0000000254,TXN0000069750,AMOUNT_INCORRECT,2023-12-17,2024-02-18,WON
DSP0000000255,TXN0000070333,AMOUNT_INCORRECT,2026-01-24,2026-03-31,PARTIAL
DSP0000000256,TXN0000070414,AMOUNT_INCORRECT,2023-05-14,2023-07-28,WON
DSP0000000257,TXN0000070543,SCAM_SUSPECTED,2023-08-28,2023-10-04,WON
DSP0000000258,TXN0000070740,MERCHANT_DISPUTE,2025-03-08,2025-06-01,LOST
DSP0000000259,TXN0000070959,NOT_RECEIVED,2026-01-28,,PARTIAL
DSP0000000260,TXN0000072089,SCAM_SUSPECTED,2024-04-05,2024-06-06,WON
DSP0000000261,TXN0000072322,DUPLICATE,2025-04-30,,WON
DSP0000000262,TXN0000072911,SCAM_SUSPECTED,2024-03-02,,WON
DSP0000000263,TXN0000073228,AMOUNT_INCORRECT,2025-10-12,2025-12-20,WON
DSP0000000264,TXN0000073331,FRAUD_SUSPECTED,2026-02-07,2026-05-05,WON
DSP0000000265,TXN0000073527,FRAUD_SUSPECTED,2024-06-05,2024-07-24,PENDING
DSP0000000266,TXN0000074501,MERCHANT_DISPUTE,2024-12-07,2025-01-14,LOST
DSP0000000267,TXN0000074912,DUPLICATE,2023-07-14,2023-09-23,LOST
DSP0000000268,TXN0000075160,DUPLICATE,2025-03-06,2025-05-17,PARTIAL
DSP0000000269,TXN0000075534,FRAUD_SUSPECTED,2025-04-07,,WON
DSP0000000270,TXN0000075692,MERCHANT_DISPUTE,2026-02-07,2026-03-04,LOST
DSP0000000271,TXN0000076116,DUPLICATE,2023-10-07,2023-12-07,PARTIAL
DSP0000000272,TXN0000076558,NOT_RECEIVED,2025-01-26,2025-02-18,PARTIAL
DSP0000000273,TXN0000076598,FRAUD_SUSPECTED,2025-03-21,2025-04-13,PARTIAL
DSP0000000274,TXN0000076607,DUPLICATE,2025-03-24,2025-04-01,WON
DSP0000000275,TXN0000076625,DUPLICATE,2025-03-03,2025-04-04,WON
DSP0000000276,TXN0000076799,AMOUNT_INCORRECT,2025-11-07,2025-11-13,WON
DSP0000000277,TXN0000076808,NOT_RECEIVED,2025-12-31,2026-03-25,WON
DSP0000000278,TXN0000076995,MERCHANT_DISPUTE,2023-12-25,2024-01-31,PARTIAL
DSP0000000279,TXN0000077018,FRAUD_SUSPECTED,2023-12-19,2023-12-27,LOST
DSP0000000280,TXN0000077328,NOT_RECEIVED,2025-08-07,2025-09-27,WON
DSP0000000281,TXN0000077340,FRAUD_SUSPECTED,2025-09-07,2025-09-20,PENDING
DSP0000000282,TXN0000077371,MERCHANT_DISPUTE,2025-08-26,2025-10-22,LOST
DSP0000000283,TXN0000077685,MERCHANT_DISPUTE,2024-04-13,2024-06-07,LOST
DSP0000000284,TXN0000078006,MERCHANT_DISPUTE,2025-08-04,,WON
DSP0000000285,TXN0000078007,DUPLICATE,2025-08-11,2025-10-03,WON
DSP0000000286,TXN0000078995,FRAUD_SUSPECTED,2023-03-27,2023-04-17,LOST
DSP0000000287,TXN0000079025,MERCHANT_DISPUTE,2023-05-11,2023-07-02,WON
DSP0000000288,TXN0000079028,FRAUD_SUSPECTED,2023-03-10,,PENDING
DSP0000000289,TXN0000079254,MERCHANT_DISPUTE,2024-04-14,2024-05-01,WON
DSP0000000290,TXN0000079744,MERCHANT_DISPUTE,2023-09-09,2023-10-28,WON
DSP0000000291,TXN0000079977,FRAUD_SUSPECTED,2025-01-11,2025-01-28,LOST
DSP0000000292,TXN0000080106,MERCHANT_DISPUTE,2025-07-18,,WON
DSP0000000293,TXN0000080350,AMOUNT_INCORRECT,2024-01-15,2024-03-05,WON
DSP0000000294,TXN0000080496,NOT_RECEIVED,2024-06-07,2024-09-02,LOST
DSP0000000295,TXN0000080908,NOT_RECEIVED,2023-04-04,2023-06-29,LOST
DSP0000000296,TXN0000081057,AMOUNT_INCORRECT,2023-08-07,2023-09-14,WON
DSP0000000297,TXN0000081363,SCAM_SUSPECTED,2025-11-05,2025-11-21,LOST
DSP0000000298,TXN0000081453,FRAUD_SUSPECTED,2026-03-11,2026-03-19,WON
DSP0000000299,TXN0000082654,FRAUD_SUSPECTED,2024-04-14,2024-06-18,WON
DSP0000000300,TXN0000083333,AMOUNT_INCORRECT,2025-10-26,2026-01-17,WON
DSP0000000301,TXN0000083397,MERCHANT_DISPUTE,2025-12-24,2026-03-10,LOST
DSP0000000302,TXN0000083508,MERCHANT_DISPUTE,2025-05-16,2025-07-25,WON
DSP0000000303,TXN0000083609,FRAUD_SUSPECTED,2025-06-28,2025-09-10,WON
