settlement_id,transaction_id,settlement_date,settled_amount,currency,fx_rate_used,fees,settlement_status
STL0000000060,TXN0000000060,2024-08-04,-24.04,EUR,1.0,-0.14,SETTLED
STL0000000061,TXN0000000061,2024-08-10,-51.0,EUR,1.0,-0.32,SETTLED
STL0000000062,TXN0000000062,2024-08-19,-36.79,EUR,1.0,-0.07,SETTLED
STL0000000063,TXN0000000063,2024-08-03,-60.79,EUR,1.0,-0.23,SETTLED
STL0000000064,TXN0000000064,2024-09-13,-19.5,EUR,1.0,0.0,SETTLED
STL0000000065,TXN0000000065,2024-09-17,-2785.14,EUR,1.0,0.0,SETTLED
STL0000000066,TXN0000000066,2024-09-24,-79.19,EUR,1.0,-0.54,SETTLED
STL0000000067,TXN0000000067,2024-10-02,-34.88,EUR,1.0,-0.29,SETTLED
STL0000000068,TXN0000000068,2024-09-08,-40.0,EUR,1.0,-2.0,PENDING
STL0000000069,TXN0000000069,2024-09-25,24.67,EUR,1.0,0.0,SETTLED
STL0000000070,TXN0000000070,2024-10-24,-76.17,EUR,1.0,-0.33,SETTLED
STL0000000071,TXN0000000071,2024-10-08,1246.16,EUR,1.0,0.0,SETTLED
STL0000000072,TXN0000000072,2024-10-06,2196.1,EUR,1.0,0.0,SETTLED
STL0000000073,TXN0000000073,2024-10-08,-51.34,EUR,1.0,-0.44,SETTLED
STL0000000074,TXN0000000074,2024-10-22,-61.99,EUR,1.0,-0.52,SETTLED
STL0000000075,TXN0000000075,2024-10-13,-40.0,EUR,1.0,-2.0,SETTLED
STL0000000076,TXN0000000076,2024-10-16,-124.51,EUR,1.0,-1.09,SETTLED
STL0000000077,TXN0000000077,2024-10-16,-14.51,EUR,1.0,-0.1,SETTLED
STL0000000078,TXN0000000078,2024-10-23,1393.82,EUR,1.0,0.0,SETTLED
STL0000000079,TXN0000000079,2024-10-20,5177.6,EUR,1.0,0.0,SETTLED
STL0000000080,TXN0000000080,2024-10-25,-655.14,EUR,1.0,0.0,SETTLED
STL0000000081,TXN0000000081,2024-10-16,-20.71,EUR,1.0,-0.18,SETTLED
STL0000000082,TXN0000000082,2024-10-09,-26.42,EUR,1.0,-0.15,SETTLED
STL0000000083,TXN0000000083,2024-10-06,-52.97,EUR,1.0,-0.52,SETTLED
STL0000000084,TXN0000000084,2024-10-14,-3161.2,EUR,1.0,0.0,SETTLED
STL0000000085,TXN0000000085,2024-10-27,-189.0,EUR,1.0,-1.83,SETTLED
STL0000000086,TXN0000000086,2024-10-16,4057.01,EUR,1.0,0.0,SETTLED
STL0000000087,TXN0000000087,2024-10-08,-20.0,EUR,1.0,0.0,SETTLED
STL0000000088,TXN0000000088,2024-11-01,-69.85,EUR,1.0,-0.41,SETTLED
STL0000000089,TXN0000000089,2024-11-01,-77.01,EUR,1.0,-0.75,SETTLED
STL0000000090,TXN0000000090,2024-10-22,-1102.23,EUR,1.0,-4.58,SETTLED
STL0000000091,TXN0000000091,2024-10-23,-79.47,EUR,1.0,-0.24,SETTLED
STL0000000092,TXN0000000092,2024-10-08,4211.07,EUR,1.0,0.0,SETTLED
STL0000000093,TXN0000000093,2024-10-06,-65.27,EUR,1.0,-0.2,SETTLED
STL0000000094,TXN0000000094,2024-10-12,-4507.83,EUR,1.0,0.0,SETTLED
STL0000000095,TXN0000000095,2024-10-27,-294.5,EUR,1.0,0.0,SETTLED
STL0000000096,TXN0000000096,2024-11-07,-7.15,EUR,1.0,-0.06,SETTLED
STL0000000097,TXN0000000097,2024-11-13,-45.45,EUR,1.0,-0.35,SETTLED
STL0000000098,TXN0000000098,2024-11-29,30.72,EUR,1.0,0.0,SETTLED
STL0000000099,TXN0000000099,2024-11-15,-3930.5,EUR,1.0,0.0,SETTLED
STL0000000100,TXN0000000100,2024-12-26,-120.27,EUR,1.0,-0.86,SETTLED
STL0000000101,TXN0000000101,2024-12-09,-8.32,EUR,1.0,-0.05,SETTLED
STL0000000102,TXN0000000102,2025-01-02,-64.38,EUR,1.0,-0.53,SETTLED
STL0000000103,TXN0000000103,2025-01-01,2001.41,EUR,1.0,0.0,SETTLED
STL0000000104,TXN0000000104,2024-12-06,-200.0,EUR,1.0,0.0,SETTLED
STL0000000105,TXN0000000105,2024-12-10,-135.22,EUR,1.0,-0.74,SETTLED
STL0000000106,TXN0000000106,2024-12-05,3847.07,EUR,1.0,0.0,SETTLED
STL0000000107,TXN0000000107,2024-12-21,-208.94,EUR,1.0,-2.04,SETTLED
STL0000000108,TXN0000000108,2024-12-04,-45.58,EUR,1.0,-0.31,SETTLED
STL0000000109,TXN0000000109,2024-12-26,-30.94,EUR,1.0,-0.26,SETTLED
STL0000000110,TXN0000000110,2025-01-18,-1172.49,EUR,1.0,0.0,SETTLED
STL0000000111,TXN0000000111,2025-01-12,-54.08,EUR,1.0,-0.08,SETTLED
STL0000000112,TXN0000000112,2025-01-27,-32.2,EUR,1.0,-0.24,PENDING
STL0000000113,TXN0000000113,2025-01-12,-74.08,EUR,1.0,-0.66,SETTLED
STL0000000114,TXN0000000114,2025-01-09,-14.45,EUR,1.0,-0.07,SETTLED
STL0000000115,TXN0000000115,2025-02-02,-33.68,EUR,1.0,-0.04,SETTLED
STL0000000116,TXN0000000116,2025-01-12,-35.56,EUR,1.0,-0.2,SETTLED
STL0000000117,TXN0000000117,2025-01-06,-49.16,EUR,1.0,-0.26,SETTLED
STL0000000118,TXN0000000118,2025-01-20,-66.83,EUR,1.0,-0.49,SETTLED
STL0000000119,TXN0000000119,2025-01-07,-39.99,EUR,1.0,-0.37,SETTLED
STL0000000120,TXN0000000120,2025-01-08,-70.67,EUR,1.0,-0.09,SETTLED
STL0000000121,TXN0000000121,2025-01-10,3962.03,EUR,1.0,0.0,SETTLED
STL0000000122,TXN0000000122,2025-02-16,19.32,EUR,1.0,0.0,SETTLED
STL0000000123,TXN0000000123,2025-02-23,-5.75,EUR,1.0,-0.03,SETTLED
STL0000000124,TXN0000000124,2025-02-15,-4656.04,EUR,1.0,0.0,SETTLED
STL0000000125,TXN0000000125,2025-02-02,-82.62,EUR,1.0,-0.61,SETTLED
STL0000000126,TXN0000000126,2025-02-16,-1591.68,EUR,1.0,0.0,SETTLED
STL0000000127,TXN0000000127,2025-02-09,-31.46,EUR,1.0,-0.08,SETTLED
STL0000000128,TXN0000000128,2025-02-06,-63.39,EUR,1.0,-0.39,SETTLED
STL0000000129,TXN0000000129,2025-02-14,-40.0,EUR,1.0,0.0,SETTLED
STL0000000130,TXN0000000130,2025-02-02,4820.87,EUR,1.0,0.0,SETTLED
STL0000000131,TXN0000000131,2025-02-09,-30.11,EUR,1.0,-0.26,SETTLED
STL0000000132,TXN0000000132,2025-02-04,-68.22,EUR,1.0,-0.22,SETTLED
STL0000000133,TXN0000000133,2025-02-18,-29.81,EUR,1.0,-0.27,SETTLED
STL0000000134,TXN0000000134,2025-02-09,-19.34,EUR,1.0,0.0,SETTLED
STL0000000135,TXN0000000135,2025-02-14,-149.0,EUR,1.0,-0.63,SETTLED
STL0000000136,TXN0000000136,2025-02-15,826.18,EUR,1.0,0.0,SETTLED
STL0000000137,TXN0000000137,2025-02-28,-72.08,EUR,1.0,-0.25,PENDING
STL0000000138,TXN0000000138,2025-02-26,-54.56,EUR,1.0,-0.11,SETTLED
STL0000000139,TXN0000000139,2025-02-07,-100.0,EUR,1.0,0.0,SETTLED
STL0000000140,TXN0000000140,2025-02-13,-73.06,EUR,1.0,-0.53,SETTLED
STL0000000141,TXN0000000141,2025-02-28,-54.31,EUR,1.0,-0.06,SETTLED
STL0000000142,TXN0000000142,2025-03-29,-28.13,EUR,1.0,-0.25,SETTLED
STL0000000143,TXN0000000143,2025-03-16,-100.0,EUR,1.0,0.0,SETTLED
STL0000000144,TXN0000000144,2025-03-05,-39.78,EUR,1.0,-0.23,SETTLED
STL0000000145,TXN0000000145,2025-04-12,-4831.63,EUR,1.0,0.0,SETTLED
STL0000000146,TXN0000000146,2025-04-11,-45.43,EUR,1.0,-0.05,SETTLED
STL0000000147,TXN0000000147,2025-04-29,-55.76,EUR,1.0,-0.28,SETTLED
STL0000000148,TXN0000000148,2025-04-24,-31.52,EUR,1.0,-0.3,SETTLED
STL0000000149,TXN0000000149,2025-04-09,-46.59,EUR,1.0,-0.38,SETTLED
STL0000000150,TXN0000000150,2025-04-20,-78.66,EUR,1.0,-0.64,SETTLED
STL0000000151,TXN0000000151,2025-04-14,-20.0,EUR,1.0,0.0,SETTLED
STL0000000152,TXN0000000152,2025-04-07,-77.28,EUR,1.0,-0.4,SETTLED
STL0000000153,TXN0000000153,2025-04-20,-74.06,EUR,1.0,-0.63,SETTLED
STL0000000154,TXN0000000154,2025-04-02,-39.5,EUR,1.0,-0.21,SETTLED
STL0000000155,TXN0000000155,2025-04-07,2179.67,EUR,1.0,0.0,SETTLED
STL0000000156,TXN0000000156,2025-04-10,-4594.34,EUR,1.0,0.0,SETTLED
STL0000000157,TXN0000000157,2025-04-27,2339.59,EUR,1.0,-5.0,SETTLED
STL0000000158,TXN0000000158,2025-04-21,-1361.88,EUR,1.0,0.0,SETTLED
STL0000000159,TXN0000000159,2025-04-18,-44.1,EUR,1.0,-0.13,SETTLED
STL0000000160,TXN0000000160,2025-04-06,-831.37,EUR,1.0,0.0,SETTLED
STL0000000161,TXN0000000161,2025-04-05,-15.25,EUR,1.0,-0.08,SETTLED
STL0000000162,TXN0000000162,2025-04-18,-51.09,EUR,1.0,-0.33,SETTLED
STL0000000163,TXN0000000163,2025-06-01,-29.63,EUR,1.0,-0.28,SETTLED
STL0000000164,TXN0000000164,2025-05-14,-21.34,EUR,1.0,-0.12,SETTLED
STL0000000165,TXN0000000165,2025-05-25,-36.45,EUR,1.0,-0.14,SETTLED
STL0000000166,TXN0000000166,2025-05-18,-9.99,EUR,1.0,-0.05,SETTLED
STL0000000167,TXN0000000167,2025-05-10,-5.64,EUR,1.0,-0.04,SETTLED
STL0000000168,TXN0000000168,2025-05-03,-56.57,EUR,1.0,-0.38,SETTLED
STL0000000169,TXN0000000169,2025-05-26,-71.94,EUR,1.0,-0.42,SETTLED
STL0000000170,TXN0000000170,2025-05-18,-8.8,EUR,1.0,-0.04,SETTLED
STL0000000171,TXN0000000171,2025-05-15,61.74,EUR,1.0,0.0,SETTLED
STL0000000172,TXN0000000172,2025-05-23,-46.35,EUR,1.0,-0.39,SETTLED
STL0000000173,TXN0000000173,2025-05-06,-11.67,EUR,1.0,-0.1,SETTLED
STL0000000174,TXN0000000174,2025-05-14,-12.3,EUR,1.0,-0.08,SETTLED
STL0000000175,TXN0000000175,2025-05-03,-293.51,EUR,1.0,-1.66,SETTLED
STL0000000176,TXN0000000176,2025-05-25,-73.59,EUR,1.0,-0.41,SETTLED
STL0000000177,TXN0000000177,2025-05-15,-29.55,EUR,1.0,-0.27,SETTLED
STL0000000178,TXN0000000178,2025-05-18,-51.15,EUR,1.0,-0.12,SETTLED
STL0000000179,TXN0000000179,2025-05-05,-6.87,EUR,1.0,-0.02,SETTLED
STL0000000180,TXN0000000180,2025-05-27,-79.41,EUR,1.0,-0.35,PENDING
STL0000000181,TXN0000000181,2025-05-13,-1794.86,EUR,1.0,0.0,SETTLED
STL0000000182,TXN0000000182,2025-05-08,-28.27,EUR,1.0,-0.25,SETTLED
STL0000000183,TXN0000000183,2025-05-22,4718.79,EUR,1.0,0.0,SETTLED
STL0000000184,TXN0000000184,2025-05-14,-76.33,EUR,1.0,-0.08,SETTLED
STL0000000185,TXN0000000185,2025-05-31,-200.0,EUR,1.0,0.0,SETTLED
STL0000000186,TXN0000000186,2025-05-21,-2173.13,EUR,1.0,0.0,SETTLED
STL0000000187,TXN0000000187,2025-05-11,-19.35,EUR,1.0,-0.14,SETTLED
STL0000000188,TXN0000000188,2025-05-20,-51.73,EUR,1.0,-0.09,SETTLED
STL0000000189,TXN0000000189,2025-05-15,-77.1,EUR,1.0,-0.14,SETTLED
STL0000000190,TXN0000000190,2025-05-05,-36.22,EUR,1.0,-0.13,SETTLED
STL0000000191,TXN0000000191,2025-05-23,-39.88,EUR,1.0,-0.12,SETTLED
STL0000000192,TXN0000000192,2025-05-23,-19.5,EUR,1.0,-0.03,SETTLED
STL0000000193,TXN0000000193,2025-05-29,-50.0,EUR,1.0,0.0,SETTLED
STL0000000194,TXN0000000194,2025-05-27,-22.53,EUR,1.0,-0.05,SETTLED
STL0000000195,TXN0000000195,2025-05-30,-105.38,EUR,1.0,-0.28,SETTLED
STL0000000196,TXN0000000196,2025-05-24,-56.5,EUR,1.0,-0.1,SETTLED
STL0000000197,TXN0000000197,2025-05-31,4904.42,EUR,1.0,0.0,SETTLED
STL0000000198,TXN0000000198,2025-05-31,-28.38,EUR,1.0,-0.27,SETTLED
STL0000000199,TXN0000000199,2025-05-17,-200.0,EUR,1.0,0.0,SETTLED
STL0000000200,TXN0000000200,2025-05-07,-372.69,EUR,1.0,0.0,SETTLED
STL0000000201,TXN0000000201,2025-05-19,-69.17,EUR,1.0,-0.24,SETTLED
STL0000000202,TXN0000000202,2025-05-23,-78.93,EUR,1.0,-0.27,SETTLED
STL0000000203,TXN0000000203,2025-05-11,4342.27,EUR,1.0,0.0,SETTLED
STL0000000204,TXN0000000204,2025-05-20,-54.44,EUR,1.0,-0.27,SETTLED
STL0000000205,TXN0000000205,2025-05-10,-50.0,EUR,1.0,0.0,SETTLED
STL0000000206,TXN0000000206,2025-05-27,-2625.09,EUR,1.0,0.0,SETTLED
STL0000000207,TXN0000000207,2025-05-31,-1332.3,EUR,1.0,0.0,SETTLED
STL0000000208,TXN0000000208,2025-05-03,-100.0,EUR,1.0,0.0,SETTLED
STL0000000209,TXN0000000209,2025-05-16,-100.0,EUR,1.0,0.0,SETTLED
STL0000000210,TXN0000000210,2025-05-27,-3478.44,EUR,1.0,0.0,SETTLED
STL0000000211,TXN0000000211,2025-05-10,-81.19,EUR,1.0,-0.59,SETTLED
STL0000000212,TXN0000000212,2025-05-06,-59.99,EUR,1.0,-0.39,SETTLED
STL0000000213,TXN0000000213,2025-05-06,-224.16,EUR,1.0,-0.34,SETTLED
STL0000000214,TXN0000000214,2025-05-15,-77.71,EUR,1.0,-0.08,SETTLED
STL0000000215,TXN0000000215,2025-05-25,-41.69,EUR,1.0,-0.14,SETTLED
STL0000000216,TXN0000000216,2025-05-19,-200.0,EUR,1.0,0.0,SETTLED
STL0000000217,TXN0000000217,2025-05-19,0.0,EUR,1.0,0.0,REVERSED
STL0000000218,TXN0000000218,2025-05-27,-224.84,EUR,1.0,-0.88,SETTLED
STL0000000219,TXN0000000219,2025-05-04,-71.66,EUR,1.0,-0.14,SETTLED
STL0000000220,TXN0000000220,2025-05-31,-46.8,EUR,1.0,-0.35,SETTLED
STL0000000221,TXN0000000221,2025-05-22,4027.13,EUR,1.0,0.0,SETTLED
STL0000000222,TXN0000000222,2025-05-09,-38.42,EUR,1.0,-0.05,SETTLED
STL0000000223,TXN0000000223,2025-05-06,-271.51,EUR,1.0,-2.29,SETTLED
STL0000000224,TXN0000000224,2025-05-21,-48.35,EUR,1.0,-0.19,SETTLED
STL0000000225,TXN0000000225,2025-06-16,-1166.55,EUR,1.0,-4.05,SETTLED
STL0000000226,TXN0000000226,2025-06-10,-46.51,EUR,1.0,-0.32,SETTLED
STL0000000227,TXN0000000227,2025-06-08,-59.67,EUR,1.0,-0.46,SETTLED
STL0000000228,TXN0000000228,2025-07-24,-23.59,EUR,1.0,-0.04,SETTLED
STL0000000229,TXN0000000229,2025-07-28,0.0,EUR,1.0,0.0,REVERSED
STL0000000230,TXN0000000230,2025-07-13,424.44,EUR,1.0,0.0,SETTLED
STL0000000231,TXN0000000231,2025-07-16,-20.0,EUR,1.0,-1.5,SETTLED
STL0000000232,TXN0000000232,2025-07-26,-47.17,EUR,1.0,-0.3,SETTLED
STL0000000233,TXN0000000233,2025-07-05,-4977.52,EUR,1.0,0.0,SETTLED
STL0000000234,TXN0000000234,2025-07-11,4605.57,EUR,1.0,0.0,SETTLED
STL0000000235,TXN0000000235,2025-07-19,-72.85,EUR,1.0,-0.18,SETTLED
STL0000000236,TXN0000000236,2025-07-05,-13.9,EUR,1.0,0.0,SETTLED
STL0000000237,TXN0000000237,2025-07-13,-50.0,EUR,1.0,0.0,SETTLED
STL0000000238,TXN0000000238,2025-07-27,-2101.59,EUR,1.0,0.0,SETTLED
STL0000000239,TXN0000000239,2025-07-13,-50.61,EUR,1.0,-0.4,SETTLED
STL0000000240,TXN0000000240,2025-07-21,-181.71,EUR,1.0,-0.61,SETTLED
STL0000000241,TXN0000000241,2025-07-30,-70.04,EUR,1.0,-0.35,SETTLED
STL0000000242,TXN0000000242,2025-07-27,238.08,EUR,1.0,-5.0,SETTLED
STL0000000243,TXN0000000243,2025-08-13,-914.38,EUR,1.0,0.0,SETTLED
STL0000000244,TXN0000000244,2025-08-26,5988.1,EUR,1.0,0.0,SETTLED
STL0000000245,TXN0000000245,2025-08-19,-72.3,EUR,1.0,-0.09,SETTLED
STL0000000246,TXN0000000246,2025-09-18,-28.28,EUR,1.0,-0.05,SETTLED
STL0000000247,TXN0000000247,2025-09-13,-30.64,EUR,1.0,-0.16,SETTLED
STL0000000248,TXN0000000248,2025-09-17,-85.36,EUR,1.0,-0.28,SETTLED
STL0000000249,TXN0000000249,2025-11-01,-53.33,EUR,1.0,-0.18,SETTLED
STL0000000250,TXN0000000250,2025-12-01,-33.23,EUR,1.0,-0.33,SETTLED
STL0000000251,TXN0000000251,2025-12-03,-185.32,EUR,1.0,-0.49,SETTLED
STL0000000252,TXN0000000252,2025-11-21,3531.24,EUR,1.0,0.0,SETTLED
STL0000000253,TXN0000000253,2025-11-14,-50.98,EUR,1.0,-0.48,SETTLED
STL0000000254,TXN0000000254,2025-11-23,-3413.55,EUR,1.0,-3.0,SETTLED
STL0000000255,TXN0000000255,2025-12-29,-279.28,EUR,1.0,-1.36,SETTLED
STL0000000256,TXN0000000256,2025-12-13,-39.74,EUR,1.0,-0.21,SETTLED
STL0000000257,TXN0000000257,2025-12-03,-72.55,EUR,1.0,-0.67,SETTLED
STL0000000258,TXN0000000258,2025-12-06,-20.0,EUR,1.0,-1.5,SETTLED
STL0000000259,TXN0000000259,2025-12-24,-488.47,EUR,1.0,0.0,SETTLED
STL0000000260,TXN0000000260,2025-12-21,-52.41,EUR,1.0,-0.06,SETTLED
STL0000000261,TXN0000000261,2025-12-30,-20.0,EUR,1.0,0.0,SETTLED
STL0000000262,TXN0000000262,2025-12-03,-9.73,EUR,1.0,-0.07,SETTLED
STL0000000263,TXN0000000263,2025-12-06,-3990.08,EUR,1.0,0.0,SETTLED
STL0000000264,TXN0000000264,2025-12-05,-8.47,EUR,1.0,-0.01,SETTLED
STL0000000265,TXN0000000265,2025-12-11,-2096.4,EUR,1.0,0.0,SETTLED
STL0000000266,TXN0000000266,2026-01-12,-106.01,EUR,1.0,-0.32,SETTLED
STL0000000267,TXN0000000267,2026-01-24,-15.86,EUR,1.0,-0.1,SETTLED
STL0000000268,TXN0000000268,2026-01-05,-46.31,EUR,1.0,-0.15,SETTLED
STL0000000269,TXN0000000269,2026-01-03,-57.41,EUR,1.0,-0.4,SETTLED
STL0000000270,TXN0000000270,2026-01-30,-4.54,EUR,1.0,0.0,SETTLED
STL0000000271,TXN0000000271,2026-01-31,-12.18,EUR,1.0,0.0,SETTLED
STL0000000272,TXN0000000272,2026-01-20,-31.36,EUR,1.0,-0.12,SETTLED
STL0000000273,TXN0000000273,2026-01-20,-68.92,EUR,1.0,-0.13,SETTLED
STL0000000274,TXN0000000274,2026-01-05,-68.32,EUR,1.0,-0.61,SETTLED
STL0000000275,TXN0000000275,2026-01-03,-207.17,EUR,1.0,-0.46,SETTLED
STL0000000276,TXN0000000276,2026-01-10,-11.95,EUR,1.0,-0.1,SETTLED
STL0000000277,TXN0000000277,2026-01-19,-53.96,EUR,1.0,-0.52,SETTLED
STL0000000278,TXN0000000278,2026-02-03,-46.52,EUR,1.0,-0.21,SETTLED
STL0000000279,TXN0000000279,2026-01-05,-3980.73,EUR,1.0,0.0,SETTLED
STL0000000280,TXN0000000280,2026-01-18,-24.92,EUR,1.0,-0.17,SETTLED
STL0000000281,TXN0000000281,2026-01-12,-20.0,EUR,1.0,-2.5,SETTLED
STL0000000282,TXN0000000282,2026-01-11,-73.5,EUR,1.0,-0.28,SETTLED
STL0000000283,TXN0000000283,2026-01-11,-3141.48,EUR,1.0,0.0,SETTLED
STL0000000284,TXN0000000284,2026-01-21,-10.88,EUR,1.0,-0.1,SETTLED
STL0000000285,TXN0000000285,2026-01-28,-124.25,EUR,1.0,-0.67,SETTLED
STL0000000286,TXN0000000286,2026-01-20,-27.46,EUR,1.0,-0.23,SETTLED
STL0000000287,TXN0000000287,2026-01-03,-4616.43,EUR,1.0,0.0,SETTLED
STL0000000288,TXN0000000288,2026-01-29,-769.4,EUR,1.0,0.0,SETTLED
STL0000000289,TXN0000000289,2026-01-06,-247.17,EUR,1.0,-1.63,SETTLED
STL0000000290,TXN0000000290,2026-01-15,2759.97,EUR,1.0,0.0,SETTLED
STL0000000291,TXN0000000291,2026-01-26,-47.27,EUR,1.0,-0.06,SETTLED
STL0000000292,TXN0000000292,2026-01-27,-67.27,EUR,1.0,-0.42,SETTLED
STL0000000293,TXN0000000293,2026-01-30,-13.99,EUR,1.0,-0.12,SETTLED
STL0000000294,TXN0000000294,2026-02-11,-75.92,EUR,1.0,-0.17,SETTLED
STL0000000295,TXN0000000295,2026-02-08,-200.0,EUR,1.0,0.0,SETTLED
STL0000000296,TXN0000000296,2026-02-10,-14.64,EUR,1.0,-0.08,SETTLED
STL0000000297,TXN0000000297,2026-02-14,-33.06,EUR,1.0,-0.25,SETTLED
STL0000000298,TXN0000000298,2024-05-24,-50.0,EUR,1.0,-3.0,SETTLED
STL0000000299,TXN0000000299,2024-05-26,-78.66,EUR,1.0,-0.59,SETTLED
